"cuaca,temperatur,kelembapan,angin,main"
"Cerah,Panas,Tinggi,Lemah,Tidak"
"Cerah,Panas,Tinggi,Kuat,Tidak"
"Berawan,Panas,Tinggi,Lemah,Ya"
"Hujan,Sedang,Tinggi,Lemah,Ya"
"Hujan,Dingin,Normal,Lemah,Ya"
"Hujan,Dingin,Normal,Kuat,Tidak"
"Berawan,Dingin,Normal,Kuat,Ya"
"Cerah,Sedang,Tinggi,Lemah,Tidak"
"Cerah,Dingin,Normal,Lemah,Ya"
"Hujan,Sedang,Normal,Lemah,Ya"
"Cerah,Sedang,Normal,Kuat,Ya"
"Berawan,Sedang,Tinggi,Kuat,Ya"
"Berawan,Panas,Normal,Lemah,Ya"
"Hujan,Sedang,Tinggi,Kuat,Tidak"
